fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2021-09-30,USD,48278000000,16426000000,4878000000,4878000000,4950000000,4916000000,31852000000,9323000000,17888000000,19023000000,5426000000,13597000000,885000000,None,855000000,326000000,2666000000,33748000000,9635000000,2862000000,467000000,1972000000,2234000000,24113000000,262000000,18149000000,1972000000,16193000000,18149000000,3242000000,3353000000,14460000000,29673000000,45361000000,9000000,576252803,MMM
2021-06-30,USD,48307000000,16343000000,4695000000,805000000,4842000000,4991000000,31995000000,9358000000,17774000000,19294000000,5572000000,13722000000,836000000,31000000,805000000,377000000,2440000000,33791000000,9440000000,2931000000,475000000,1981000000,2249000000,24351000000,871000000,18232000000,1981000000,16267000000,18232000000,3181000000,3297000000,14448000000,29236000000,44824000000,9000000,578638253,MMM
2021-03-31,USD,47180000000,15345000000,4636000000,501000000,4458000000,4817000000,31866000000,9240000000,17465000000,19351000000,5697000000,13654000000,532000000,31000000,501000000,398000000,2373000000,33352000000,8363000000,2670000000,482000000,None,0,24989000000,876000000,18169000000,1368000000,16819000000,18169000000,3126000000,3330000000,13760000000,29020000000,44255000000,9000000,579675002,MMM
2020-12-31,USD,47344000000,14982000000,4634000000,404000000,4239000000,4705000000,34027000000,9421000000,17229000000,19637000000,5835000000,13802000000,602000000,164000000,404000000,325000000,2440000000,34413000000,7948000000,2561000000,498000000,806000000,0,28402000000,93000000,18783000000,806000000,17989000000,18783000000,3278000000,3462000000,12867000000,29404000000,43821000000,9000000,577749638,MMM
2020-09-30,USD,45390000000,14110000000,4121000000,440000000,3984000000,4623000000,31314000000,9216000000,17236000000,19461000000,5926000000,13535000000,474000000,34000000,440000000,426000000,1759000000,33447000000,7410000000,2208000000,390000000,None,1421000000,26037000000,857000000,19582000000,1169000000,18429000000,19582000000,2840000000,3324000000,11880000000,29570000000,43285000000,9000000,576821878,MMM
2020-06-30,USD,45079000000,14106000000,4219000000,247000000,4168000000,4459000000,31007000000,9089000000,16854000000,19393000000,6033000000,13360000000,281000000,34000000,247000000,446000000,1651000000,34164000000,7282000000,1975000000,412000000,248000000,1486000000,26882000000,855000000,19926000000,248000000,19276000000,19926000000,2702000000,3275000000,10857000000,29699000000,42759000000,9000000,576019442,MMM
2020-03-31,USD,46212000000,15090000000,4253000000,224000000,4217000000,4821000000,31156000000,9165000000,16835000000,19503000000,6191000000,13312000000,258000000,34000000,224000000,971000000,1605000000,36003000000,9134000000,2207000000,422000000,244000000,3248000000,26869000000,847000000,21072000000,244000000,19247000000,21072000000,2776000000,3225000000,10147000000,29817000000,42345000000,9000000,575196371,MMM
2019-12-31,USD,44659000000,12971000000,9000000,577000000,4134000000,4791000000,32552000000,9333000000,16791000000,19823000000,6379000000,13444000000,756000000,113000000,568000000,891000000,1674000000,34533000000,9222000000,2228000000,430000000,2795000000,2527000000,27230000000,111000000,19359000000,247000000,17518000000,21886000000,3056000000,3275000000,10063000000,29849000000,42135000000,9000000,575184835,MMM
2019-09-30,USD,42550000000,18020000000,29970000000,30000000000,4007000000,5020000000,24576000000,8891000000,16617000000,13257000000,2847000000,10410000000,76000000,46000000,30000000,515000000,1548000000,31786000000,7821000000,2079000000,605000000,259000000,1960000000,24081000000,116000000,18794000000,241000000,17479000000,18794000000,2735000000,3235000000,10702000000,29865000000,42085000000,9000000,576500000,MMM
2019-06-30,USD,38969000000,14051000000,2849000000,139000000,4300000000,5374000000,24964000000,8998000000,16567000000,13538000000,2964000000,10574000000,185000000,46000000,139000000,440000000,1503000000,28827000000,7265000000,2130000000,603000000,263000000,892000000,21683000000,121000000,15777000000,247000000,14914000000,15777000000,3169000000,3268000000,10083000000,29828000000,41362000000,9000000,577700000,MMM
2019-03-31,USD,39140000000,14374000000,2938000000,539000000,4538000000,5173000000,24015000000,8829000000,16295000000,13658000000,3047000000,10611000000,585000000,46000000,539000000,473000000,1482000000,29383000000,7125000000,2309000000,None,790000000,790000000,21727000000,84000000,16328000000,790000000,15580000000,16328000000,3071000000,3228000000,9703000000,29668000000,41159000000,9000000,577500000,MMM
2018-12-31,USD,36500000000,13709000000,13000000,393000000,4366000000,5020000000,23106000000,8738000000,16135000000,12708000000,2657000000,10051000000,575000000,107000000,380000000,349000000,1345000000,26652000000,7244000000,2266000000,617000000,1211000000,1194000000,21036000000,75000000,14156000000,17000000,13411000000,15350000000,2775000000,3010000000,9796000000,29626000000,40636000000,9000000,576575168,MMM
2018-09-30,USD,37275000000,14419000000,3185000000,338000000,4437000000,5329000000,22883000000,8630000000,16135000000,12849000000,2726000000,10123000000,365000000,27000000,338000000,385000000,1377000000,26964000000,7336000000,2029000000,None,1307000000,1307000000,19628000000,None,13539000000,5000000,13539000000,14846000000,3031000000,2906000000,10248000000,28510000000,40120000000,9000000,585600000,MMM
2018-06-30,USD,36778000000,13890000000,2801000000,385000000,4238000000,5383000000,22914000000,8645000000,16113000000,12894000000,2787000000,10107000000,411000000,26000000,385000000,370000000,1349000000,26350000000,8902000000,1871000000,None,3225000000,3225000000,17448000000,None,11294000000,7000000,11294000000,14519000000,2867000000,2900000000,10365000000,27617000000,39442000000,9000000,591400000,MMM
2018-03-31,USD,38575000000,14818000000,3491000000,604000000,4295000000,5252000000,23784000000,8864000000,16310000000,13455000000,2885000000,10570000000,631000000,27000000,604000000,344000000,1438000000,27536000000,8959000000,1874000000,None,3449000000,3449000000,18577000000,None,12211000000,2000000,12211000000,15660000000,2791000000,2985000000,10977000000,26178000000,38453000000,9000000,596200000,MMM
2017-12-31,USD,37987000000,14277000000,13000000,1076000000,4034000000,4911000000,24151000000,8866000000,16048000000,13449000000,2936000000,10513000000,1290000000,177000000,1076000000,266000000,1395000000,26365000000,7687000000,1945000000,550000000,1853000000,1853000000,20297000000,None,13198000000,13000000,12096000000,13198000000,2709000000,2962000000,11563000000,25887000000,39115000000,9000000,594884237,MMM
2017-09-30,USD,35237000000,13656000000,2831000000,586000000,3975000000,5156000000,21598000000,8658000000,16001000000,11396000000,2175000000,9221000000,742000000,156000000,586000000,1108000000,1266000000,23035000000,6598000000,1824000000,None,835000000,835000000,16437000000,None,10828000000,1000000,10828000000,11663000000,2709000000,1861000000,12146000000,25706000000,39454000000,9000000,597600000,MMM
2017-06-30,USD,33957000000,12641000000,2654000000,140000000,3838000000,4919000000,21333000000,8566000000,15726000000,11306000000,2201000000,9105000000,294000000,154000000,140000000,1090000000,1207000000,22313000000,5697000000,1782000000,None,213000000,213000000,16616000000,None,11088000000,11307000000,11088000000,11301000000,2604000000,1767000000,11591000000,25466000000,38793000000,9000000,598100000,MMM
2017-03-31,USD,33292000000,11901000000,2173000000,2314000000,3612000000,4722000000,21408000000,8551000000,15395000000,11527000000,2269000000,9258000000,291000000,150000000,141000000,1253000000,1102000000,22252000000,5995000000,1701000000,None,909000000,909000000,16257000000,None,10802000000,909000000,10802000000,11711000000,2420000000,1691000000,10989000000,25354000000,38094000000,9000000,598100000,MMM
2016-12-31,USD,32906000000,11726000000,2398000000,2678000000,3385000000,4392000000,21198000000,8516000000,14983000000,11486000000,2320000000,9166000000,574000000,146000000,280000000,450000000,1178000000,22563000000,6219000000,1798000000,None,972000000,972000000,16793000000,None,11478000000,800000000,10678000000,11478000000,2472000000,1648000000,10298000000,25434000000,37907000000,9000000,596726278,MMM
2021-09-30,USD,3300000000,1738100000,486100000,685200000,357700000,623800000,1561900000,539500000,721000000,867000000,315200000,551800000,199100000,None,199100000,71400000,116100000,1403500000,982600000,649600000,100400000,6800000,6800000,420900000,31400000,0,6800000,99600000,137800000,326200000,192500000,1896500000,1357700000,2731700000,295300000,159188790,AOS
2021-06-30,USD,3140200000,1585700000,444800000,581900000,330400000,607000000,1554500000,539700000,706400000,865900000,318000000,547900000,137100000,None,137100000,66400000,106900000,1323900000,907000000,612400000,92900000,6800000,6800000,416900000,33900000,0,6800000,99600000,140300000,287800000,188300000,1816300000,1344400000,2641600000,295300000,160241814,AOS
2021-03-31,USD,3106800000,1558200000,578500000,665500000,312800000,534500000,1548600000,539100000,688000000,868200000,320900000,547300000,87000000,None,87000000,45400000,97100000,1257800000,836100000,547400000,77700000,6800000,6800000,421700000,35800000,99600000,6800000,99600000,142200000,281900000,190300000,1849000000,1219300000,2565100000,295300000,161526733,AOS
2020-12-31,USD,3160700000,1618000000,573100000,689600000,300100000,585000000,1542700000,541300000,681300000,870700000,323900000,546800000,116500000,None,116500000,43300000,89100000,1312400000,886300000,595200000,90000000,6800000,6800000,426100000,34400000,113200000,6800000,106400000,113200000,284300000,190800000,1848300000,1155900000,2509600000,295400000,161632265,AOS
2020-09-30,USD,2971100000,1430300000,377900000,509000000,302600000,572900000,1540800000,537100000,658800000,870600000,325800000,544800000,131100000,None,131100000,45800000,90900000,1224000000,805900000,516900000,68700000,6800000,6800000,418100000,34900000,107100000,6800000,107100000,113900000,282200000,266000000,1747100000,1162300000,2431800000,295400000,161411049,AOS
2020-06-30,USD,2984200000,1444400000,442700000,568700000,306000000,515900000,1539800000,533800000,636700000,873500000,329500000,544000000,126000000,None,126000000,53800000,87300000,1326100000,735400000,435700000,43000000,6800000,6800000,590700000,37500000,274300000,6800000,274300000,281100000,46800000,265100000,1658100000,1163700000,2365100000,164500000,161208194,AOS
2020-03-31,USD,2983000000,1442500000,416100000,551700000,312300000,524000000,1540500000,537300000,622200000,875700000,333100000,542600000,135600000,None,135600000,54500000,82600000,1366700000,699100000,442000000,65200000,18300000,6800000,667600000,37300000,335600000,6800000,335600000,342400000,46700000,273900000,1616300000,1168900000,2336100000,164500000,161871788,AOS
2019-12-31,USD,3058000000,1500400000,374000000,551400000,303000000,589500000,1557600000,545400000,611500000,884400000,338400000,546000000,177400000,None,177400000,56500000,80900000,1391200000,766500000,509600000,49600000,18800000,6800000,624700000,38700000,284000000,6800000,277200000,284000000,43300000,188600000,1666800000,1112700000,2323400000,164500000,162912432,AOS
2019-09-30,USD,3067900000,1504400000,219400000,513800000,310000000,614100000,1563500000,543600000,593900000,886900000,339500000,547400000,294400000,None,294400000,66500000,84700000,1411700000,730400000,483100000,43700000,19000000,6800000,681300000,39600000,312400000,6800000,312400000,319200000,44700000,292800000,1656200000,1056400000,2271500000,164500000,164298458,AOS
2019-06-30,USD,3175600000,1596600000,281600000,577800000,323100000,634800000,1530600000,553900000,584400000,891600000,343700000,547900000,296200000,None,296200000,60900000,85100000,1450500000,730600000,488400000,None,6800000,6800000,680000000,39900000,351800000,6800000,351800000,358600000,43700000,291200000,1725100000,958800000,2220200000,164500000,166825601,AOS
2019-03-31,USD,3143500000,1658100000,337800000,633300000,319700000,658800000,1435700000,549900000,571700000,803800000,289900000,513900000,295500000,None,295500000,46300000,82000000,1394300000,737200000,492400000,None,6800000,6800000,616000000,41100000,277600000,6800000,277600000,284400000,43700000,295100000,1749200000,872700000,2155000000,164500000,167803794,AOS
2018-12-31,USD,3071500000,1638500000,259700000,645000000,304700000,647300000,1433000000,540000000,556800000,806100000,293100000,513000000,385300000,None,385300000,41500000,86900000,1354500000,785300000,543800000,47000000,None,None,569200000,None,221400000,0,221400000,221400000,43200000,200700000,1717000000,827200000,2102800000,164500000,169265139,AOS
2018-09-30,USD,3025200000,1598700000,233000000,617800000,307700000,606600000,1426500000,526300000,544900000,812600000,297400000,515200000,384800000,None,384800000,66600000,87600000,1269000000,738900000,508000000,None,None,None,530100000,None,193300000,None,193300000,193300000,45300000,312000000,1756200000,730900000,2014000000,164500000,170507922,AOS
2018-06-30,USD,3085300000,1653300000,260000000,658400000,289000000,644000000,1432000000,532800000,546800000,815500000,300800000,514700000,398400000,None,398400000,61900000,83700000,1355000000,768700000,532800000,None,2700000,2700000,586300000,None,245400000,2700000,245400000,248100000,46000000,306600000,1730300000,695100000,1940100000,164500000,171063565,AOS
2018-03-31,USD,3106900000,1669100000,241900000,679700000,287100000,638800000,1437800000,538100000,547000000,820400000,304700000,515700000,None,None,437800000,63500000,79300000,1398500000,766900000,522100000,None,7400000,7400000,631600000,None,285800000,7400000,285800000,293200000,48200000,304600000,1708400000,659500000,1856500000,164500000,171532008,AOS
2017-12-31,USD,3197400000,1766900000,346600000,820000000,297000000,592700000,1430500000,528900000,531200000,825400000,308700000,516700000,473400000,None,473400000,57200000,76200000,1552500000,793800000,535000000,None,7500000,7500000,760000000,None,410400000,7500000,402900000,410400000,246000000,209800000,1644900000,626500000,1788700000,164500000,171855459,AOS
2017-09-30,USD,3104600000,1698100000,321900000,767900000,292100000,587100000,1406500000,501700000,515700000,828600000,312300000,516300000,None,None,446000000,51000000,76200000,1438700000,731700000,500100000,None,7500000,7500000,707000000,None,442200000,7500000,442200000,449700000,224100000,198800000,1665900000,587100000,1794000000,164500000,172446529,AOS
2017-06-30,USD,2984000000,1640300000,306600000,740900000,287000000,566800000,1343700000,475800000,499400000,795400000,302300000,493100000,None,None,434300000,45600000,72500000,1370300000,705800000,493100000,None,7400000,7400000,664500000,None,367700000,7400000,367700000,375100000,205300000,194000000,1613700000,550200000,1724500000,164500000,172992419,AOS
2017-03-31,USD,2940200000,1605500000,293400000,722300000,257100000,584100000,1334700000,467600000,484000000,796900000,305100000,491800000,None,None,428900000,42000000,70200000,1373800000,720500000,493500000,None,7200000,7200000,653300000,None,362200000,7200000,362200000,369400000,219800000,188700000,1566400000,516100000,1656400000,164400000,173380076,AOS
2016-12-31,USD,2891000000,1562000000,330400000,754600000,251100000,518700000,1329000000,461900000,470600000,799800000,308300000,491500000,None,None,424200000,37600000,67300000,1375700000,765600000,528600000,None,7200000,7200000,610100000,None,323600000,7200000,316400000,323600000,229800000,88300000,1511400000,488100000,1593000000,164400000,173791917,AOS
2021-09-30,USD,73795000000,23492000000,9302000000,9692000000,5261000000,6405000000,46254000000,8831000000,10351000000,36611000000,13312000000,23299000000,269000000,812000000,390000000,8539000000,None,39373000000,12867000000,4017000000,412000000,951000000,197000000,17446000000,None,18954000000,754000000,17446000000,19151000000,7899000000,None,34422000000,10999000000,30376000000,24285000000,1774516000,ABT
2021-06-30,USD,73269000000,22627000000,8658000000,8944000000,5439000000,6113000000,46787000000,8816000000,10258000000,37166000000,13681000000,23485000000,260000000,805000000,286000000,141000000,None,39469000000,12614000000,4017000000,406000000,954000000,199000000,17547000000,None,19057000000,755000000,17547000000,19256000000,7643000000,None,33800000000,10340000000,29053000000,24153000000,1779203000,ABT
2021-03-31,USD,72785000000,21817000000,8054000000,8372000000,5387000000,6096000000,47245000000,8832000000,9865000000,37581000000,14181000000,23400000000,289000000,832000000,318000000,1962000000,None,39223000000,12462000000,4066000000,416000000,955000000,199000000,17489000000,None,19001000000,756000000,17489000000,19200000000,7441000000,None,33562000000,9845000000,28669000000,24023000000,1776842000,ABT
2020-12-31,USD,72548000000,20441000000,6838000000,7148000000,5012000000,6414000000,49522000000,9029000000,9764000000,38484000000,14784000000,23744000000,277000000,821000000,310000000,1867000000,None,39764000000,11907000000,3946000000,405000000,220000000,213000000,22548000000,902000000,18534000000,7000000,18527000000,18747000000,7741000000,3684000000,32784000000,10042000000,27627000000,24145000000,1775502000,ABT
2020-09-30,USD,69043000000,17390000000,4480000000,4731000000,5152000000,5649000000,47969000000,8620000000,9352000000,38546000000,15208000000,23338000000,292000000,803000000,251000000,1858000000,None,37657000000,10257000000,3189000000,351000000,214000000,208000000,18349000000,None,18361000000,6000000,18349000000,18569000000,3170000000,None,31386000000,9873000000,26266000000,24037000000,1774475000,ABT
2020-06-30,USD,68776000000,17221000000,4763000000,5037000000,5202000000,5140000000,48002000000,8343000000,9031000000,38883000000,15783000000,23100000000,283000000,776000000,274000000,1842000000,-17000000,38198000000,10959000000,3335000000,335000000,1495000000,205000000,18184000000,None,20764000000,1290000000,18184000000,20969000000,907000000,None,30578000000,9904000000,25669000000,23893000000,1772953000,ABT
2020-03-31,USD,66777000000,15498000000,3377000000,3668000000,4568000000,5292000000,47889000000,7907000000,8800000000,39192000000,16265000000,22927000000,275000000,790000000,291000000,1970000000,51214000000,36559000000,10808000000,3181000000,305000000,1468000000,204000000,16804000000,None,19332000000,1264000000,16804000000,19536000000,991000000,None,30218000000,9913000000,25786000000,23731000000,1768901000,ABT
2019-12-31,USD,67887000000,15667000000,3860000000,4140000000,4316000000,5425000000,50165000000,8038000000,8761000000,40225000000,17025000000,23200000000,321000000,883000000,280000000,1786000000,52220000000,36799000000,10863000000,3252000000,294000000,1683000000,201000000,20233000000,755000000,17938000000,1277000000,16661000000,18139000000,861000000,3944000000,31088000000,10147000000,25847000000,23853000000,1768045000,ABT
2019-09-30,USD,68539000000,16119000000,4091000000,4335000000,4392000000,5450000000,50091000000,7825000000,8518000000,40511000000,17465000000,23046000000,335000000,874000000,244000000,1942000000,-35000000,36722000000,10491000000,3029000000,295000000,1660000000,204000000,18341000000,None,20147000000,1254000000,17639000000,20351000000,729000000,None,31817000000,9631000000,25440000000,23771000000,1771521000,ABT
2019-06-30,USD,68427000000,15195000000,3137000000,3376000000,4352000000,5548000000,50946000000,7825000000,8506000000,41420000000,18091000000,23329000000,325000000,851000000,239000000,179000000,53232000000,36741000000,9062000000,3222000000,297000000,415000000,204000000,19652000000,None,18998000000,8000000,18982000000,19202000000,728000000,None,31686000000,9659000000,25045000000,23665000000,1768904000,ABT
2019-03-31,USD,67610000000,14409000000,3022000000,3261000000,4085000000,5345000000,50174000000,7626000000,8279000000,41681000000,18472000000,23209000000,325000000,867000000,239000000,1718000000,53201000000,36685000000,9113000000,3045000000,None,209000000,201000000,18845000000,None,18861000000,8000000,18845000000,19062000000,932000000,None,30925000000,9679000000,24613000000,23461000000,1763278000,ABT
2018-12-31,USD,67173000000,14632000000,3844000000,4086000000,3796000000,5182000000,50775000000,7563000000,8143000000,42196000000,18942000000,23254000000,325000000,897000000,242000000,1568000000,17000000,36649000000,9012000000,2975000000,259000000,207000000,200000000,21399000000,None,19366000000,7000000,19359000000,19566000000,868000000,None,30524000000,9962000000,24560000000,23512000000,1760946000,ABT
2018-09-30,USD,71637000000,18196000000,7369000000,7550000000,3781000000,5271000000,51331000000,7448000000,8072000000,42893000000,19477000000,23416000000,355000000,971000000,181000000,1594000000,19000000,40932000000,12776000000,2730000000,None,4274000000,211000000,19284000000,None,27410000000,4063000000,19284000000,27621000000,820000000,None,30705000000,9858000000,24144000000,23428000000,1759585000,ABT
2018-06-30,USD,68415000000,14122000000,3065000000,3264000000,3714000000,5192000000,52288000000,7432000000,7877000000,43795000000,19951000000,23844000000,260000000,940000000,199000000,1952000000,121000000,37838000000,8951000000,2503000000,None,847000000,341000000,19823000000,None,20835000000,506000000,19823000000,21176000000,841000000,None,30577000000,9907000000,24080000000,23317000000,1757836000,ABT
2018-03-31,USD,70908000000,14964000000,3857000000,4042000000,3826000000,5356000000,53862000000,7659000000,7897000000,45170000000,20943000000,24227000000,255000000,913000000,185000000,1740000000,120000000,39509000000,9010000000,2476000000,None,737000000,230000000,21154000000,None,22168000000,507000000,21154000000,22398000000,5585000000,None,31399000000,9947000000,23856000000,23223000000,1753412000,ABT
2017-12-31,USD,76250000000,20147000000,9407000000,9610000000,3601000000,5249000000,54278000000,7607000000,7658000000,45493000000,21473000000,24020000000,235000000,883000000,203000000,1667000000,176000000,119000000000,8912000000,2402000000,198000000,714000000,206000000,38409000000,None,27210000000,508000000,27210000000,27924000000,5487000000,9030000000,30897000000,10225000000,23978000000,23206000000,1748070000,ABT
2017-09-30,USD,72248000000,21377000000,11012000000,11199000000,3483000000,4800000000,49306000000,7219000000,7479000000,40644000000,18578000000,22066000000,None,1386000000,187000000,1895000000,57000000,40216000000,7935000000,1858000000,None,715000000,211000000,23310000000,None,24318000000,504000000,23310000000,24529000000,5182000000,None,32032000000,10290000000,25320000000,23118000000,1743757000,ABT
2017-06-30,USD,71151000000,19983000000,9675000000,9835000000,3603000000,4633000000,49616000000,7286000000,7190000000,40785000000,18653000000,22132000000,None,1545000000,160000000,1912000000,None,39549000000,6803000000,1667000000,None,221000000,218000000,23810000000,None,23816000000,3000000,23810000000,24034000000,4723000000,None,31602000000,10362000000,25202000000,23012000000,1740524000,ABT
2017-03-31,USD,70887000000,19329000000,8706000000,8860000000,3995000000,4510000000,49779000000,7265000000,6907000000,40758000000,19405000000,21353000000,None,1756000000,154000000,1964000000,None,39525000000,6646000000,1481000000,None,210000000,207000000,23764000000,None,23770000000,3000000,23764000000,23977000000,4769000000,None,31362000000,10379000000,25387000000,22886000000,1727356000,ABT
2016-12-31,USD,52666000000,26776000000,18620000000,18775000000,2434000000,3248000000,23744000000,5705000000,6661000000,12222000000,4539000000,7683000000,58000000,2947000000,155000000,1806000000,2753000000,32128000000,6660000000,1178000000,None,1325000000,1322000000,27573000000,None,20684000000,3000000,20681000000,22006000000,245000000,4549000000,20538000000,10791000000,25565000000,13027000000,1478947000,ABT
2021-09-30,USD,148858000000,28957000000,12182000000,12249000000,3094000000,9281000000,119901000000,5130000000,5673000000,109752000000,77456000000,32296000000,None,272000000,67000000,4333000000,4747000000,135308000000,28533000000,None,None,6672000000,16000000,106748000000,None,74049000000,6656000000,None,16000000,21861000000,29097000000,13550000000,3020000000,1600000000,18000000,1770000000,ABBV
2021-06-30,USD,147972000000,25999000000,8546000000,8600000000,3386000000,9914000000,121973000000,5161000000,5655000000,111738000000,79340000000,32398000000,None,266000000,54000000,4099000000,4808000000,135403000000,28684000000,None,None,7901000000,17000000,106694000000,None,74237000000,7884000000,None,17000000,20783000000,28796000000,12569000000,3022000000,740000000,18000000,1769000000,ABBV
2021-03-31,USD,150501000000,26569000000,9755000000,9777000000,3272000000,9588000000,123932000000,5193000000,5694000000,113642000000,81293000000,32349000000,None,305000000,22000000,3932000000,4792000000,136791000000,31951000000,None,None,11347000000,9000000,104817000000,None,74183000000,11338000000,None,9000000,20604000000,26866000000,13710000000,3017000000,2292000000,18000000,1769000000,ABBV
2020-12-31,USD,150565000000,24173000000,8449000000,8479000000,3310000000,8822000000,126392000000,5248000000,5611000000,116000000000,82876000000,33124000000,None,293000000,30000000,3562000000,4851000000,137489000000,28661000000,2276000000,None,8502000000,34000000,130734000000,None,84948000000,8468000000,None,84982000000,17883000000,27607000000,13076000000,2264000000,1055000000,18000000,1769000000,ABBV
2020-09-30,USD,149621000000,23009000000,7890000000,7950000000,3474000000,8416000000,126612000000,4986000000,5405000000,117444000000,74643000000,42801000000,None,246000000,60000000,3169000000,3936000000,134351000000,24181000000,None,None,4777000000,54000000,110151000000,None,82282000000,4723000000,None,54000000,-4485000000,23384000000,15270000000,1972000000,3335000000,18000000,1769000000,ABBV
2020-06-30,USD,149530000000,21256000000,6017000000,6040000000,4059000000,8354000000,128274000000,4908000000,5419000000,119132000000,76463000000,42669000000,None,225000000,23000000,2803000000,4009000000,134822000000,24646000000,None,None,5371000000,64000000,110152000000,None,82061000000,5307000000,None,64000000,512000000,23306000000,14708000000,1958000000,3130000000,18000000,1647000000,ABBV
2020-03-31,USD,91199000000,51758000000,41142000000,41142000000,1844000000,6362000000,39441000000,2961000000,5289000000,33764000000,18203000000,15561000000,None,78000000,None,2410000000,2638000000,98733000000,16471000000,None,None,3762000000,6000000,82143000000,None,63284000000,3756000000,None,6000000,458000000,17900000000,-7415000000,25110000000,5973000000,18000000,1481000000,ABBV
2019-12-31,USD,89115000000,49519000000,39924000000,39924000000,1813000000,5428000000,39596000000,2962000000,5226000000,34253000000,18649000000,15604000000,None,93000000,0,2354000000,2288000000,102962000000,15585000000,1452000000,None,3753000000,0,80572000000,None,67233000000,3753000000,None,67233000000,4633000000,17597000000,-8172000000,24504000000,4717000000,18000000,1484000000,ABBV
2019-09-30,USD,59441000000,20166000000,10648000000,10648000000,1929000000,5529000000,39275000000,2894000000,5598000000,34573000000,19036000000,15537000000,None,131000000,0,2060000000,1677000000,67144000000,17493000000,None,None,5276000000,0,49116000000,None,33126000000,5276000000,None,0,539000000,15990000000,-8226000000,24501000000,3673000000,18000000,1481000000,ABBV
2019-06-30,USD,57142000000,15100000000,5172000000,5416000000,1895000000,5482000000,42042000000,2879000000,5564000000,36101000000,20459000000,15642000000,None,1473000000,244000000,2307000000,1589000000,64751000000,16941000000,None,None,5641000000,306000000,47619000000,None,31597000000,5335000000,None,306000000,444000000,16000000000,-8566000000,24505000000,3384000000,18000000,1480000000,ABBV
2019-03-31,USD,56769000000,14413000000,4897000000,5228000000,1702000000,5680000000,42356000000,2860000000,5510000000,36452000000,20846000000,15606000000,None,1477000000,331000000,1803000000,1567000000,63688000000,13904000000,None,None,2078000000,499000000,49575000000,None,35043000000,1579000000,None,499000000,420000000,14509000000,-7826000000,24502000000,4234000000,18000000,1480000000,ABBV
2018-12-31,USD,59352000000,16945000000,7289000000,8061000000,1605000000,5872000000,42407000000,2883000000,5513000000,36896000000,21233000000,15663000000,None,1420000000,772000000,1895000000,1208000000,74183000000,17239000000,1546000000,None,5308000000,3699000000,49492000000,None,35002000000,1609000000,None,3699000000,5355000000,1307000000,-8446000000,24108000000,3368000000,18000000,1496000000,ABBV
2018-09-30,USD,66164000000,18465000000,8015000000,8785000000,1786000000,5780000000,47699000000,2950000000,5499000000,42343000000,26625000000,15718000000,None,1463000000,770000000,2114000000,943000000,67682000000,15387000000,None,None,4021000000,3002000000,52208000000,None,37187000000,1019000000,None,3002000000,378000000,15721000000,-2921000000,21849000000,6789000000,18000000,1511000000,ABBV
2018-06-30,USD,61641000000,13845000000,3547000000,3743000000,1580000000,5793000000,47796000000,2787000000,5427000000,42595000000,26903000000,15692000000,1549000000,1505000000,196000000,2729000000,909000000,63434000000,17224000000,None,None,6530000000,3511000000,46122000000,None,31216000000,3019000000,None,3511000000,350000000,15543000000,-3375000000,20845000000,5495000000,18000000,1568000000,ABBV
2018-03-31,USD,69342000000,20444000000,9007000000,9474000000,1738000000,5841000000,48898000000,2828000000,5403000000,43110000000,27230000000,15880000000,2471000000,2057000000,467000000,3391000000,903000000,65789000000,17058000000,None,None,6381000000,367000000,46427000000,None,30906000000,6014000000,None,367000000,125000000,15521000000,3553000000,13331000000,4977000000,18000000,1591000000,ABBV
2017-12-31,USD,70786000000,21223000000,9303000000,9789000000,1605000000,2042000000,49563000000,2803000000,5268000000,43344000000,27559000000,15785000000,2528000000,2090000000,486000000,4741000000,1326000000,65689000000,16641000000,1474000000,None,6415000000,400000000,46558000000,None,30953000000,6015000000,None,400000000,8752000000,1241000000,5097000000,11923000000,5459000000,18000000,1596000000,ABBV
2017-09-30,USD,68840000000,18930000000,8446000000,9554000000,1785000000,4891000000,49910000000,2697000000,5197000000,43915000000,28167000000,15748000000,2532000000,1971000000,1108000000,2700000000,1327000000,62153000000,13033000000,None,None,3821000000,800000000,42973000000,None,33974000000,3021000000,None,800000000,197000000,8999000000,6687000000,11419000000,6547000000,18000000,1597000000,ABBV
2017-06-30,USD,66994000000,16962000000,6088000000,7205000000,1582000000,4859000000,50032000000,2657000000,5129000000,44018000000,28366000000,15652000000,2608000000,2052000000,1117000000,3316000000,1305000000,60985000000,12259000000,None,None,3420000000,400000000,42335000000,None,33817000000,3020000000,None,400000000,128000000,8518000000,6009000000,11427000000,5951000000,18000000,1595000000,ABBV
